foot.Averaged speed,foot.Batch length,foot.Case temperature too high,foot.Case temperature too low,foot.Gauge OK,foot.Gauge too hot,foot.Good reading,foot.Good reading status,foot.Instant speed,foot.Laser Status,foot.Laser temperature too high,foot.Laser temperature too low,foot.Last length before reset,foot.Object detected,foot.SNR,foot.Speed reading valid,foot.Total length,mic.Average error/Envelop Error,mic.Lump count,mic.Measurement Mode,mic.Neck count,mic.Ovality,mic.Ovality error,mic.X diameter,mic.X error,mic.Y diameter,mic.Y error,mic.Z diameter,mic.Z error,timestamp
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:48
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:49
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:50
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:51
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:52
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:53
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:54
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:55
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:56
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:57
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:58
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:06:59
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:07:00
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:07:01
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:07:02
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:07:03
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:07:04
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:07:05
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:07:06
